semester,hallticket,subject_code,subject_name,internal_marks,external_marks,total,cgpa,grade,credits
Semester 1,246BIA73007,CS303,Software Engineering,41,48,89,8.8,A,4
Semester 1,246BIA73007,CS304,Artificial Intelligence,27,46,73,8.3,A,4
Semester 1,246BIA73008,CS101,Mathematics,33,34,67,7.3,B+,4
Semester 1,246BIA73008,CS102,Physics,38,39,77,8.0,A,4
Semester 1,246BIA73008,CS103,Chemistry,31,41,72,7.1,B+,4
Semester 1,246BIA73008,CS201,Data Structures,37,29,66,6.7,B,4
Semester 1,246BIA73008,CS202,Operating Systems,46,36,82,7.4,B+,4
Semester 1,246BIA73008,CS203,Database Systems,36,48,84,7.9,B+,4
Semester 1,246BIA73008,CS301,Machine Learning,36,35,71,7.0,B+,4
Semester 1,246BIA73008,CS302,Computer Networks,42,26,68,7.0,B+,4
Semester 1,246BIA73008,CS303,Software Engineering,33,31,64,7.4,B+,4
Semester 1,246BIA73008,CS304,Artificial Intelligence,37,44,81,7.5,B+,4
Semester 1,246BIA73009,CS101,Mathematics,36,45,81,8.0,A,4
Semester 1,246BIA73009,CS102,Physics,28,46,74,7.6,B+,4
Semester 1,246BIA73009,CS103,Chemistry,43,34,77,7.9,B+,4
Semester 1,246BIA73009,CS201,Data Structures,48,31,79,8.4,A,4
Semester 1,246BIA73009,CS202,Operating Systems,39,33,72,7.5,B+,4
Semester 1,246BIA73009,CS203,Database Systems,35,30,65,7.2,B+,4
Semester 1,246BIA73009,CS301,Machine Learning,30,48,78,8.5,A,4
Semester 1,246BIA73009,CS302,Computer Networks,43,42,85,8.4,A,4
Semester 1,246BIA73009,CS303,Software Engineering,33,34,67,7.6,B+,4
Semester 1,246BIA73009,CS304,Artificial Intelligence,48,36,84,8.7,A,4
Semester 1,246BIA73010,CS101,Mathematics,42,40,82,7.6,B+,4
Semester 1,246BIA73010,CS102,Physics,40,44,84,8.4,A,4
Semester 1,246BIA73010,CS103,Chemistry,40,43,83,8.1,A,4
Semester 1,246BIA73010,CS201,Data Structures,36,34,70,7.9,B+,4
Semester 1,246BIA73010,CS202,Operating Systems,47,34,81,7.1,B+,4
Semester 1,246BIA73010,CS203,Database Systems,33,45,78,8.7,A,4
Semester 1,246BIA73010,CS301,Machine Learning,32,46,78,7.7,B+,4
Semester 1,246BIA73010,CS302,Computer Networks,38,38,76,8.1,A,4
Semester 1,246BIA73010,CS303,Software Engineering,30,26,56,5.8,C+,4
Semester 1,246BIA73010,CS304,Artificial Intelligence,40,34,74,7.2,B+,4
Semester 1,246BIA73011,CS101,Mathematics,33,30,63,5.7,C+,4
Semester 1,246BIA73011,CS102,Physics,45,26,71,7.8,B+,4
Semester 1,246BIA73011,CS103,Chemistry,31,26,57,5.8,C+,4
Semester 1,246BIA73011,CS201,Data Structures,44,50,94,9.2,A+,4
Semester 1,246BIA73011,CS202,Operating Systems,50,49,99,9.8,A+,4
Semester 1,246BIA73011,CS203,Database Systems,49,39,88,9.1,A+,4
Semester 1,246BIA73011,CS301,Machine Learning,41,36,77,7.6,B+,4
Semester 1,246BIA73011,CS302,Computer Networks,45,32,77,7.4,B+,4
Semester 1,246BIA73011,CS303,Software Engineering,46,35,81,8.0,A,4
Semester 1,246BIA73011,CS304,Artificial Intelligence,39,45,84,8.5,A,4
Semester 1,246BIA73012,CS101,Mathematics,36,26,62,6.2,B,4
Semester 1,246BIA73012,CS102,Physics,40,48,88,9.0,A+,4
Semester 1,246BIA73012,CS103,Chemistry,49,33,82,8.4,A,4
Semester 1,246BIA73012,CS201,Data Structures,46,35,81,7.5,B+,4
Semester 1,246BIA73012,CS202,Operating Systems,36,35,71,7.9,B+,4
Semester 1,246BIA73012,CS203,Database Systems,27,33,60,5.6,C+,4
Semester 1,246BIA73012,CS301,Machine Learning,50,48,98,9.8,A+,4
Semester 1,246BIA73012,CS302,Computer Networks,33,34,67,6.1,B,4
Semester 1,246BIA73012,CS303,Software Engineering,45,36,81,8.0,A,4
Semester 1,246BIA73012,CS304,Artificial Intelligence,44,33,77,7.1,B+,4
Semester 1,246BIA73013,CS101,Mathematics,35,47,82,8.5,A,4
Semester 1,246BIA73013,CS102,Physics,30,46,76,8.1,A,4
Semester 1,246BIA73013,CS103,Chemistry,40,46,86,8.8,A,4
Semester 1,246BIA73013,CS201,Data Structures,34,48,82,7.5,B+,4
Semester 1,246BIA73013,CS202,Operating Systems,28,46,74,6.8,B,4
Semester 1,246BIA73013,CS203,Database Systems,46,46,92,8.9,A,4
Semester 1,246BIA73013,CS301,Machine Learning,49,42,91,8.5,A,4
Semester 1,246BIA73013,CS302,Computer Networks,50,25,75,6.8,B,4
Semester 1,246BIA73013,CS303,Software Engineering,28,37,65,7.2,B+,4
Semester 1,246BIA73013,CS304,Artificial Intelligence,38,38,76,8.2,A,4
Semester 1,246BIA73014,CS101,Mathematics,45,37,82,8.7,A,4
Semester 1,246BIA73014,CS102,Physics,46,41,87,9.4,A+,4
Semester 1,246BIA73014,CS103,Chemistry,31,26,57,6.3,B,4
Semester 1,246BIA73014,CS201,Data Structures,48,27,75,7.3,B+,4
Semester 1,246BIA73014,CS202,Operating Systems,26,36,62,7.0,B+,4
Semester 1,246BIA73014,CS203,Database Systems,31,45,76,8.2,A,4
Semester 1,246BIA73014,CS301,Machine Learning,41,43,84,8.4,A,4
Semester 1,246BIA73014,CS302,Computer Networks,33,44,77,7.2,B+,4
Semester 1,246BIA73014,CS303,Software Engineering,28,29,57,4.8,C,4
Semester 1,246BIA73014,CS304,Artificial Intelligence,31,50,81,8.1,A,4
Semester 1,246BIA73015,CS101,Mathematics,30,41,71,7.4,B+,4
Semester 1,246BIA73015,CS102,Physics,42,25,67,6.2,B,4
Semester 1,246BIA73015,CS103,Chemistry,26,46,72,6.5,B,4
Semester 1,246BIA73015,CS201,Data Structures,29,35,64,7.0,B+,4
Semester 1,246BIA73015,CS202,Operating Systems,30,46,76,8.1,A,4
Semester 1,246BIA73015,CS203,Database Systems,30,38,68,7.7,B+,4
Semester 1,246BIA73015,CS301,Machine Learning,36,43,79,7.8,B+,4
Semester 1,246BIA73015,CS302,Computer Networks,39,49,88,9.1,A+,4
Semester 1,246BIA73015,CS303,Software Engineering,38,47,85,9.3,A+,4
Semester 1,246BIA73015,CS304,Artificial Intelligence,48,46,94,9.9,A+,4
Semester 1,246BIA73016,CS101,Mathematics,36,50,86,7.7,B+,4
Semester 1,246BIA73016,CS102,Physics,48,40,88,8.6,A,4
Semester 1,246BIA73016,CS103,Chemistry,45,27,72,6.3,B,4
Semester 1,246BIA73016,CS201,Data Structures,40,35,75,8.0,A,4
Semester 1,246BIA73016,CS202,Operating Systems,30,27,57,4.9,C,4
Semester 1,246BIA73016,CS203,Database Systems,31,42,73,6.9,B,4
Semester 1,246BIA73016,CS301,Machine Learning,35,44,79,7.5,B+,4
Semester 1,246BIA73016,CS302,Computer Networks,31,26,57,5.0,C+,4
Semester 1,246BIA73016,CS303,Software Engineering,36,34,70,7.1,B+,4
Semester 1,246BIA73016,CS304,Artificial Intelligence,26,32,58,5.8,C+,4
Semester 1,246BIA73017,CS101,Mathematics,27,45,72,6.5,B,4
Semester 1,246BIA73017,CS102,Physics,41,47,88,9.0,A+,4
Semester 1,246BIA73017,CS103,Chemistry,27,29,56,6.0,B,4
Semester 1,246BIA73017,CS201,Data Structures,29,42,71,7.3,B+,4
Semester 1,246BIA73017,CS202,Operating Systems,40,47,87,8.3,A,4
Semester 1,246BIA73017,CS203,Database Systems,50,50,100,10.0,A+,4
Semester 1,246BIA73017,CS301,Machine Learning,49,38,87,8.9,A,4
Semester 1,246BIA73017,CS302,Computer Networks,40,29,69,7.3,B+,4
Semester 1,246BIA73017,CS303,Software Engineering,36,34,70,6.9,B,4
Semester 1,246BIA73017,CS304,Artificial Intelligence,33,30,63,6.8,B,4
Semester 1,246BIA73018,CS101,Mathematics,39,39,78,7.3,B+,4
Semester 1,246BIA73018,CS102,Physics,28,49,77,8.0,A,4
Semester 1,246BIA73018,CS103,Chemistry,44,28,72,6.6,B,4
Semester 1,246BIA73018,CS201,Data Structures,32,34,66,6.8,B,4
Semester 1,246BIA73018,CS202,Operating Systems,32,41,73,7.4,B+,4
Semester 1,246BIA73018,CS203,Database Systems,34,42,76,6.9,B,4
Semester 1,246BIA73018,CS301,Machine Learning,46,42,88,9.0,A+,4
Semester 1,246BIA73018,CS302,Computer Networks,41,32,73,7.7,B+,4
Semester 1,246BIA73018,CS303,Software Engineering,34,34,68,7.5,B+,4
Semester 1,246BIA73018,CS304,Artificial Intelligence,41,42,83,8.5,A,4
Semester 1,246BIA73019,CS101,Mathematics,29,50,79,8.6,A,4
Semester 1,246BIA73019,CS102,Physics,49,42,91,9.9,A+,4
Semester 1,246BIA73019,CS103,Chemistry,33,25,58,5.4,C+,4
Semester 1,246BIA73019,CS201,Data Structures,28,33,61,5.3,C+,4
Semester 1,246BIA73019,CS202,Operating Systems,37,46,83,8.2,A,4
Semester 1,246BIA73019,CS203,Database Systems,33,41,74,8.0,A,4
Semester 1,246BIA73019,CS301,Machine Learning,49,34,83,7.4,B+,4
Semester 1,246BIA73019,CS302,Computer Networks,28,36,64,6.9,B,4
Semester 1,246BIA73019,CS303,Software Engineering,33,36,69,7.8,B+,4
Semester 1,246BIA73019,CS304,Artificial Intelligence,45,49,94,9.5,A+,4
Semester 1,246BIA73020,CS101,Mathematics,27,42,69,7.0,B+,4
Semester 1,246BIA73020,CS102,Physics,42,28,70,6.1,B,4
Semester 1,246BIA73020,CS103,Chemistry,34,27,61,6.1,B,4
Semester 1,246BIA73020,CS201,Data Structures,42,49,91,9.9,A+,4
Semester 1,246BIA73020,CS202,Operating Systems,26,30,56,5.2,C+,4
Semester 1,246BIA73020,CS203,Database Systems,39,27,66,7.2,B+,4
Semester 1,246BIA73020,CS301,Machine Learning,25,34,59,5.1,C+,4
Semester 1,246BIA73020,CS302,Computer Networks,25,36,61,6.5,B,4
Semester 1,246BIA73020,CS303,Software Engineering,49,29,78,8.3,A,4
Semester 1,246BIA73020,CS304,Artificial Intelligence,49,43,92,9.8,A+,4
Semester 1,246BIA73021,CS101,Mathematics,26,29,55,6.0,B,4
Semester 1,246BIA73021,CS102,Physics,50,39,89,8.8,A,4
Semester 1,246BIA73021,CS103,Chemistry,33,30,63,5.5,C+,4
Semester 1,246BIA73021,CS201,Data Structures,29,39,68,7.4,B+,4
Semester 1,246BIA73021,CS202,Operating Systems,35,45,80,7.1,B+,4
Semester 1,246BIA73021,CS203,Database Systems,48,49,97,9.2,A+,4
Semester 1,246BIA73021,CS301,Machine Learning,45,44,89,9.4,A+,4
Semester 1,246BIA73021,CS302,Computer Networks,35,33,68,7.5,B+,4
Semester 1,246BIA73021,CS303,Software Engineering,30,49,79,7.2,B+,4
Semester 1,246BIA73021,CS304,Artificial Intelligence,41,26,67,7.2,B+,4
Semester 1,246BIA73022,CS101,Mathematics,38,40,78,7.3,B+,4
Semester 1,246BIA73022,CS102,Physics,35,42,77,6.8,B,4
Semester 1,246BIA73022,CS103,Chemistry,50,37,87,8.6,A,4
Semester 1,246BIA73022,CS201,Data Structures,27,41,68,6.2,B,4
Semester 1,246BIA73022,CS202,Operating Systems,32,29,61,5.9,C+,4
Semester 1,246BIA73022,CS203,Database Systems,47,35,82,7.3,B+,4
Semester 1,246BIA73022,CS301,Machine Learning,31,29,60,5.2,C+,4
Semester 1,246BIA73022,CS302,Computer Networks,28,38,66,6.9,B,4
Semester 1,246BIA73022,CS303,Software Engineering,50,32,82,7.6,B+,4
Semester 1,246BIA73022,CS304,Artificial Intelligence,47,25,72,7.7,B+,4
Semester 1,246BIA73023,CS101,Mathematics,49,26,75,6.7,B,4
Semester 1,246BIA73023,CS102,Physics,33,44,77,7.0,B+,4
Semester 1,246BIA73023,CS103,Chemistry,45,44,89,9.2,A+,4
Semester 1,246BIA73023,CS201,Data Structures,38,27,65,7.2,B+,4
Semester 1,246BIA73023,CS202,Operating Systems,34,48,82,7.9,B+,4
Semester 1,246BIA73023,CS203,Database Systems,41,46,87,9.2,A+,4
Semester 1,246BIA73023,CS301,Machine Learning,33,40,73,7.9,B+,4
Semester 1,246BIA73023,CS302,Computer Networks,44,41,85,7.9,B+,4
Semester 1,246BIA73023,CS303,Software Engineering,44,47,91,10.0,A+,4
Semester 1,246BIA73023,CS304,Artificial Intelligence,45,41,86,9.6,A+,4
Semester 1,246BIA73024,CS101,Mathematics,46,33,79,8.9,A,4
Semester 1,246BIA73024,CS102,Physics,47,46,93,10.0,A+,4
Semester 1,246BIA73024,CS103,Chemistry,45,38,83,7.5,B+,4
Semester 1,246BIA73024,CS201,Data Structures,40,49,89,8.9,A,4
Semester 1,246BIA73024,CS202,Operating Systems,45,32,77,8.0,A,4
Semester 1,246BIA73024,CS203,Database Systems,44,28,72,7.6,B+,4
Semester 1,246BIA73024,CS301,Machine Learning,44,34,78,7.4,B+,4
Semester 1,246BIA73024,CS302,Computer Networks,44,35,79,8.4,A,4
Semester 1,246BIA73024,CS303,Software Engineering,41,38,79,7.8,B+,4
Semester 1,246BIA73024,CS304,Artificial Intelligence,27,41,68,7.1,B+,4
Semester 1,246BIA73025,CS101,Mathematics,26,29,55,5.8,C+,4
Semester 1,246BIA73025,CS102,Physics,33,38,71,8.0,A,4
Semester 1,246BIA73025,CS103,Chemistry,50,47,97,10.0,A+,4
Semester 1,246BIA73025,CS201,Data Structures,49,29,78,8.0,A,4
Semester 1,246BIA73025,CS202,Operating Systems,27,47,74,7.3,B+,4
Semester 1,246BIA73025,CS203,Database Systems,43,47,90,9.0,A+,4
Semester 1,246BIA73025,CS301,Machine Learning,31,26,57,5.3,C+,4
Semester 1,246BIA73025,CS302,Computer Networks,38,48,86,8.4,A,4
Semester 1,246BIA73025,CS303,Software Engineering,40,25,65,5.6,C+,4
Semester 1,246BIA73025,CS304,Artificial Intelligence,42,40,82,8.8,A,4
Semester 1,246BIA73026,CS101,Mathematics,44,40,84,8.8,A,4
Semester 1,246BIA73026,CS102,Physics,41,35,76,8.4,A,4
Semester 1,246BIA73026,CS103,Chemistry,43,47,90,9.6,A+,4
Semester 1,246BIA73026,CS201,Data Structures,39,49,88,8.0,A,4
Semester 1,246BIA73026,CS202,Operating Systems,39,33,72,6.6,B,4
Semester 1,246BIA73026,CS203,Database Systems,36,41,77,7.9,B+,4
Semester 1,246BIA73026,CS301,Machine Learning,44,48,92,9.2,A+,4
Semester 1,246BIA73026,CS302,Computer Networks,37,43,80,7.5,B+,4
Semester 1,246BIA73026,CS303,Software Engineering,28,27,55,6.5,B,4
Semester 1,246BIA73026,CS304,Artificial Intelligence,41,32,73,7.9,B+,4
Semester 1,246BIA73027,CS101,Mathematics,49,42,91,8.4,A,4
Semester 1,246BIA73027,CS102,Physics,31,25,56,6.1,B,4
Semester 1,246BIA73027,CS103,Chemistry,36,46,82,7.8,B+,4
Semester 1,246BIA73027,CS201,Data Structures,30,40,70,6.3,B,4
Semester 1,246BIA73027,CS202,Operating Systems,41,30,71,6.9,B,4
Semester 1,246BIA73027,CS203,Database Systems,33,49,82,8.2,A,4
Semester 1,246BIA73027,CS301,Machine Learning,28,38,66,5.8,C+,4
Semester 1,246BIA73027,CS302,Computer Networks,47,37,84,9.0,A+,4
Semester 1,246BIA73027,CS303,Software Engineering,34,41,75,7.2,B+,4
Semester 1,246BIA73027,CS304,Artificial Intelligence,31,36,67,6.8,B,4
Semester 1,246BIA73028,CS101,Mathematics,27,37,64,5.6,C+,4
Semester 1,246BIA73028,CS102,Physics,29,47,76,8.5,A,4
Semester 1,246BIA73028,CS103,Chemistry,44,25,69,7.8,B+,4
Semester 1,246BIA73028,CS201,Data Structures,37,40,77,7.6,B+,4
Semester 1,246BIA73028,CS202,Operating Systems,41,42,83,7.9,B+,4
Semester 1,246BIA73028,CS203,Database Systems,42,36,78,8.0,A,4
Semester 1,246BIA73028,CS301,Machine Learning,42,38,80,7.5,B+,4
Semester 1,246BIA73028,CS302,Computer Networks,31,34,65,6.3,B,4
Semester 1,246BIA73028,CS303,Software Engineering,39,29,68,7.7,B+,4
Semester 1,246BIA73028,CS304,Artificial Intelligence,50,33,83,8.1,A,4
Semester 1,246BIA73029,CS101,Mathematics,41,30,71,7.9,B+,4
Semester 1,246BIA73029,CS102,Physics,42,46,88,8.6,A,4
Semester 1,246BIA73029,CS103,Chemistry,40,27,67,6.5,B,4
Semester 1,246BIA73029,CS201,Data Structures,34,36,70,6.8,B,4
Semester 1,246BIA73029,CS202,Operating Systems,48,35,83,8.1,A,4
Semester 1,246BIA73029,CS203,Database Systems,49,49,98,9.9,A+,4
Semester 1,246BIA73029,CS301,Machine Learning,46,30,76,7.5,B+,4
Semester 1,246BIA73029,CS302,Computer Networks,25,37,62,5.8,C+,4
Semester 1,246BIA73029,CS303,Software Engineering,40,25,65,7.4,B+,4
Semester 1,246BIA73029,CS304,Artificial Intelligence,47,38,85,7.8,B+,4
Semester 1,246BIA73030,CS101,Mathematics,31,35,66,6.2,B,4
Semester 1,246BIA73030,CS102,Physics,48,30,78,7.0,B+,4
Semester 1,246BIA73030,CS103,Chemistry,37,43,80,7.4,B+,4
Semester 1,246BIA73030,CS201,Data Structures,25,39,64,6.4,B,4
Semester 1,246BIA73030,CS202,Operating Systems,31,42,73,7.1,B+,4
Semester 1,246BIA73030,CS203,Database Systems,43,48,91,9.7,A+,4
Semester 1,246BIA73030,CS301,Machine Learning,37,30,67,6.5,B,4
Semester 1,246BIA73030,CS302,Computer Networks,38,44,82,8.8,A,4
Semester 1,246BIA73030,CS303,Software Engineering,38,43,81,8.3,A,4
Semester 1,246BIA73030,CS304,Artificial Intelligence,27,30,57,6.1,B,4
Semester 1,246BIA73031,CS101,Mathematics,41,26,67,7.2,B+,4
Semester 1,246BIA73031,CS102,Physics,33,32,65,6.2,B,4
Semester 1,246BIA73031,CS103,Chemistry,29,39,68,6.1,B,4
Semester 1,246BIA73031,CS201,Data Structures,41,29,70,6.4,B,4
Semester 1,246BIA73031,CS202,Operating Systems,25,42,67,6.4,B,4
Semester 1,246BIA73031,CS203,Database Systems,46,37,83,9.1,A+,4
Semester 1,246BIA73031,CS301,Machine Learning,42,30,72,6.3,B,4
Semester 1,246BIA73031,CS302,Computer Networks,40,40,80,8.0,A,4
Semester 1,246BIA73031,CS303,Software Engineering,25,25,50,5.8,C+,4
Semester 1,246BIA73031,CS304,Artificial Intelligence,30,32,62,5.8,C+,4
Semester 1,246BIA73032,CS101,Mathematics,37,41,78,8.0,A,4
Semester 1,246BIA73032,CS102,Physics,44,47,91,8.3,A,4
Semester 1,246BIA73032,CS103,Chemistry,49,42,91,9.3,A+,4
Semester 1,246BIA73032,CS201,Data Structures,46,27,73,6.6,B,4
Semester 1,246BIA73032,CS202,Operating Systems,46,41,87,8.0,A,4
Semester 1,246BIA73032,CS203,Database Systems,28,34,62,6.9,B,4
Semester 1,246BIA73032,CS301,Machine Learning,29,37,66,5.7,C+,4
Semester 1,246BIA73032,CS302,Computer Networks,49,38,87,8.3,A,4
Semester 1,246BIA73032,CS303,Software Engineering,27,43,70,7.1,B+,4
Semester 1,246BIA73032,CS304,Artificial Intelligence,37,35,72,7.0,B+,4
Semester 1,246BIA73033,CS101,Mathematics,47,34,81,8.7,A,4
Semester 1,246BIA73033,CS102,Physics,45,26,71,6.3,B,4
Semester 1,246BIA73033,CS103,Chemistry,27,40,67,6.1,B,4
Semester 1,246BIA73033,CS201,Data Structures,46,32,78,6.9,B,4
Semester 1,246BIA73033,CS202,Operating Systems,29,47,76,6.8,B,4
Semester 1,246BIA73033,CS203,Database Systems,47,41,88,9.2,A+,4
Semester 1,246BIA73033,CS301,Machine Learning,37,45,82,8.5,A,4
Semester 1,246BIA73033,CS302,Computer Networks,42,31,73,7.9,B+,4
Semester 1,246BIA73033,CS303,Software Engineering,50,48,98,8.8,A,4
Semester 1,246BIA73033,CS304,Artificial Intelligence,41,45,86,8.4,A,4
Semester 1,246BIA73034,CS101,Mathematics,35,35,70,6.8,B,4
Semester 1,246BIA73034,CS102,Physics,50,42,92,8.9,A,4
Semester 1,246BIA73034,CS103,Chemistry,48,31,79,8.2,A,4
Semester 1,246BIA73034,CS201,Data Structures,37,29,66,6.3,B,4
Semester 1,246BIA73034,CS202,Operating Systems,33,35,68,7.3,B+,4
Semester 1,246BIA73034,CS203,Database Systems,30,48,78,7.4,B+,4
Semester 1,246BIA73034,CS301,Machine Learning,47,34,81,8.9,A,4
Semester 1,246BIA73034,CS302,Computer Networks,28,48,76,6.7,B,4
Semester 1,246BIA73034,CS303,Software Engineering,29,39,68,6.0,B,4
Semester 1,246BIA73034,CS304,Artificial Intelligence,32,27,59,5.5,C+,4
Semester 1,246BIA73035,CS101,Mathematics,46,38,84,9.3,A+,4
Semester 1,246BIA73035,CS102,Physics,40,37,77,8.2,A,4
Semester 1,246BIA73035,CS103,Chemistry,41,30,71,6.8,B,4
Semester 1,246BIA73035,CS201,Data Structures,32,41,73,7.8,B+,4
Semester 1,246BIA73035,CS202,Operating Systems,50,44,94,10.0,A+,4
Semester 1,246BIA73035,CS203,Database Systems,25,37,62,6.0,B,4
Semester 1,246BIA73035,CS301,Machine Learning,30,28,58,6.6,B,4
Semester 1,246BIA73035,CS302,Computer Networks,26,29,55,6.0,B,4
Semester 1,246BIA73035,CS303,Software Engineering,49,43,92,10.0,A+,4
Semester 1,246BIA73035,CS304,Artificial Intelligence,25,27,52,6.0,B,4
Semester 1,246BIA73036,CS101,Mathematics,25,50,75,7.8,B+,4
Semester 1,246BIA73036,CS102,Physics,44,33,77,7.2,B+,4
Semester 1,246BIA73036,CS103,Chemistry,27,26,53,5.6,C+,4
Semester 1,246BIA73036,CS201,Data Structures,26,41,67,6.0,B,4
Semester 1,246BIA73036,CS202,Operating Systems,34,47,81,8.4,A,4
Semester 1,246BIA73036,CS203,Database Systems,25,44,69,7.9,B+,4
Semester 1,246BIA73036,CS301,Machine Learning,38,43,81,8.6,A,4
Semester 1,246BIA73036,CS302,Computer Networks,42,27,69,7.4,B+,4
Semester 1,246BIA73036,CS303,Software Engineering,27,29,56,6.5,B,4
Semester 1,246BIA73036,CS304,Artificial Intelligence,50,26,76,7.5,B+,4
Semester 1,246BIA73037,CS101,Mathematics,27,46,73,7.0,B+,4
Semester 1,246BIA73037,CS102,Physics,28,38,66,6.2,B,4
Semester 1,246BIA73037,CS103,Chemistry,31,28,59,5.6,C+,4
Semester 1,246BIA73037,CS201,Data Structures,27,32,59,5.7,C+,4
Semester 1,246BIA73037,CS202,Operating Systems,44,49,93,8.5,A,4
